Page total likes,Type,Category,Post Month,Post Weekday,Post Hour,Paid,like
139441,Photo,2,12,4,3,0,79
139441,Status,2,12,3,10,0,130
139441,Photo,3,12,3,3,0,66
139441,Photo,2,12,2,10,1,1572
139441,Photo,2,12,2,3,0,325
139441,Status,2,12,1,9,0,152
139441,Photo,3,12,1,3,1,249
139441,Photo,3,12,7,9,1,325
139441,Status,2,12,7,3,0,161
139441,Photo,3,12,6,10,0,113
139441,Status,2,12,5,10,0,233
139441,Photo,2,12,5,10,0,88
139441,Photo,2,12,5,10,0,90
139441,Photo,2,12,5,3,0,137
138414,Photo,2,12,4,5,1,577
138414,Status,2,12,3,10,0,86
138414,Photo,3,12,3,3,0,40
138414,Photo,1,12,2,12,1,678
138414,Status,3,12,2,3,0,54
138414,Photo,3,12,1,11,0,34
138414,Photo,2,12,1,3,0,66
138414,Photo,1,12,7,10,0,0
138414,Link,1,12,7,10,0,16
138414,Photo,3,12,7,3,0,72
138414,Status,2,12,6,10,0,99
138458,Status,2,12,6,3,0,88
138458,Status,2,12,5,11,0,412
138458,Photo,3,12,5,3,0,100
138895,Photo,2,12,5,3,0,523
138895,Video,1,12,4,11,1,143
138895,Photo,2,12,4,2,0,107
138895,Photo,2,12,3,10,0,27
138895,Photo,3,12,3,3,0,155
138895,Photo,3,12,2,9,0,98
138895,Photo,1,12,2,3,0,56
138895,Photo,2,12,1,11,0,172
138895,Photo,3,12,1,3,0,96
138895,Photo,1,12,7,10,1,76
138895,Status,2,12,7,9,0,227
138895,Photo,1,12,7,3,0,44
138895,Status,2,12,6,11,0,216
138895,Link,1,12,6,3,1,187
138353,Photo,1,12,5,10,0,26
138353,Link,1,12,5,3,1,29
138353,Photo,1,12,4,11,0,47
138353,Link,1,12,4,3,1,57
138353,Status,1,12,3,11,0,174
138353,Link,1,12,3,2,0,18
138353,Photo,1,12,2,11,0,77
138353,Link,1,12,2,2,0,12
138353,Photo,2,11,1,9,0,48
138329,Photo,1,11,1,3,1,285
138329,Photo,1,11,7,9,0,202
138329,Photo,1,11,7,3,0,64
138329,Photo,1,11,6,10,0,66
138329,Video,1,11,6,2,1,65
138329,Photo,1,11,5,11,0,164
138329,Photo,1,11,5,3,0,40
138329,Photo,1,11,4,10,0,76
138329,Photo,1,11,4,3,1,139
138185,Photo,1,11,3,11,1,101
138185,Photo,1,11,3,2,1,144
138185,Photo,1,11,2,10,1,179
138185,Photo,1,11,2,3,1,219
138185,Photo,1,11,1,10,0,60
138185,Photo,1,11,1,3,0,77
138185,Photo,1,11,7,11,0,48
138185,Photo,1,11,7,3,1,697
138185,Photo,1,11,6,11,0,53
137893,Photo,1,11,6,3,0,84
137893,Photo,1,11,5,10,1,146
137893,Video,1,11,5,3,1,449
137893,Status,3,11,4,11,0,226
137893,Photo,1,11,4,2,1,172
137893,Video,1,11,3,11,0,99
137893,Photo,1,11,3,2,1,411
137893,Photo,1,11,3,2,0,0
137177,Photo,1,11,1,10,0,85
137177,Photo,2,11,1,3,0,56
137177,Photo,1,11,7,12,0,29
137177,Status,2,11,7,3,0,86
137177,Photo,3,11,6,10,0,370
137177,Photo,1,11,6,3,0,190
137177,Photo,3,11,5,10,1,101
137177,Status,3,11,5,2,0,99
137177,Photo,1,11,4,9,1,140
137177,Link,1,11,4,3,0,130
137177,Photo,3,11,3,10,0,270
137177,Photo,1,11,3,3,0,30
137059,Photo,1,11,2,11,1,107
137059,Photo,1,11,2,3,0,331
137059,Photo,2,11,1,9,0,78
137059,Photo,3,11,1,3,0,301
137059,Photo,3,11,7,9,0,111
137059,Photo,2,11,7,4,0,124
137059,Photo,3,10,6,10,0,153
137059,Photo,1,10,6,3,0,51
137059,Photo,2,10,5,11,0,115
137020,Status,2,10,5,3,1,310
137020,Photo,1,10,4,10,0,328
137020,Photo,1,10,4,9,1,0
137020,Photo,2,10,4,3,0,1505
137020,Photo,3,10,3,10,0,63
137020,Photo,1,10,3,4,0,13
